no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
652;CARON;Pour Un Homme De Caron;176;200;EDT;Men;vanilla;musk;vanilla;vanilla musk vanilla;20;2;0
653;CHOPARD;1000 Miglia;153;80;EDT;Men;woody;amber woody notes coffee;violet green grass asphalt leather;woody amber woody notes coffee violet green grass asphalt leather;65;9;0
654;Rasasi;Oud Al-Mubakhar;30;100;EDP;Men;arabian;sandalwood tonka bean musk patchouli;turkish rose violet geranium;arabian sandalwood tonka bean musk patchouli turkish rose violet geranium;73;10;2
655;GUCCI;Rush;219;75;EDT;Women;floral;vetiver patchouli vanilla;jasmine damask rose coriander;floral vetiver patchouli vanilla jasmine damask rose coriander;62;8;0
656;Rasasi;Shuhrah;69;90;EDP;Women;floral;oud patchouli grey amber musk;iris jasmine lily of valley;floral oud patchouli grey amber musk iris jasmine lily of valley;64;11;0
657;BURBERRY;Touch;154;100;EDP;Women;floral;almondscedaroakmosstonka beansvanilla;jasminelilylily of valleypeachpeonyraspberrytuberose;floral almondscedaroakmosstonka beansvanilla jasminelilylily of valleypeachpeonyraspberrytuberose;97;6;2
658;Marbert;Man Pure;54;125;EDT;Men;citrus;oak moss cedar sandalwood amber musk;geranium jasmine lily of valley majorjam coriander nutmeg;citrus oak moss cedar sandalwood amber musk geranium jasmine lily of valley majorjam coriander nutmeg;101;15;2
659;J.CASANOVA;Plaisir;75;100;EDP;Women;fresh;sandalwood musk vanilla orchid cedar;clove damascus plum pear ylang ylang;fresh sandalwood musk vanilla orchid cedar clove damascus plum pear ylang ylang;79;11;2
660;Lattafa;24 Carat Pure Gold;46;100;EDP;Unisex;spicy;incense amber leather musk vanilla;rose sandalwood;spicy incense amber leather musk vanilla rose sandalwood;56;8;0
661;VERSACE;Eau Fraiche;178;100;EDT;Men;woody;amber musk platanus saffron woody notes;cedar pepper sage;woody amber musk platanus saffron woody notes cedar pepper sage;63;9;0
662;S.T.Dupont;Essence Pure;74;100;EDT;Men;woody;cypress amber musk cedar;iris lavender bamboo;woody cypress amber musk cedar iris lavender bamboo;51;8;0
663;Mont Blanc;Legend;141;100;EDT;Men;spicy;sandalwood tonka evernyl;dried fruit oakmoss fused geranium rose apple;spicy sandalwood tonka evernyl dried fruit oakmoss fused geranium rose apple;76;11;2
664;Calvin Klein;CK One;107;200;EDT;Men;citrus;sandalwood amber musk cedar oak moss;nutmeg violet orris root jasmine lilyofthevalley rose;citrus sandalwood amber musk cedar oak moss nutmeg violet orris root jasmine lilyofthevalley rose;97;14;2
665;LA PERLA;Divina;62;50;EDT;Women;fruity;musk amber vanilla woody notes;jasmine african orange pink;fruity musk amber vanilla woody notes jasmine african orange pink;65;10;0
666;CARTIER;Santos D Concentree;240;100;EDT;Men;spicy;sandalwood amber coconut patchouli vanilla cedar;pepper nutmeg vetiver geranium rosemary cloves clary sage;spicy sandalwood amber coconut patchouli vanilla cedar pepper nutmeg vetiver geranium rosemary cloves clary sage;112;15;2
667;DORALL COLLECTION;Green Secret;9;100;EDT;Men;fruity;moss sandalwood coumarin;ylang geranium jasmine;fruity moss sandalwood coumarin ylang geranium jasmine;54;7;0
668;DORALL COLLECTION;Lancy;0;100;EDT;Women;spicy;tonka praline patchouli vanilla;iris orange blossom jasmine;spicy tonka praline patchouli vanilla iris orange blossom jasmine;65;9;0
669;Lancome;Miracle;200;100;EDP;Women;arabian;amber musk jasmine;magnolia ginger mandarin orange pepper jasmine;arabian amber musk jasmine magnolia ginger mandarin orange pepper jasmine;73;9;2
670;armani;Code Absolu ED;8;2;EDP;Men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;floral vanilla amber musk patchouli jasmine geranium neroli ylangylang;70;9;2
671;DAVIDOFF;Cool Water;76;125;EDT;Men;woody;amber cedar musk oakmoss tobacco;geranium jasmine neroli sandalwood;woody amber cedar musk oakmoss tobacco geranium jasmine neroli sandalwood;73;10;2
672;LACOSTE;L.12.12 Blanc;88;100;EDT;Men;woody;leather suede cedar;mexican tuberose ylangylang;woody leather suede cedar mexican tuberose ylangylang;53;7;0
673;MONTBLANC;Lady Emblem Elixir;176;50;EDP;Women;woody;patchouli sandalwood vanilla;iris orange blossom damask rose jasmine;woody patchouli sandalwood vanilla iris orange blossom damask rose jasmine;74;10;2
674;BURBERRY;Body;141;85;EDP;Women;woody;cashmere wood musk amber vanille;iris rose sandalwood;woody cashmere wood musk amber vanille iris rose sandalwood;59;9;0
675;CARTIER;Declaration Essence;173;100;EDT;Men;citrus;vetiver sandalwood musk amber;geranium lemon sicilian lemon;citrus vetiver sandalwood musk amber geranium lemon sicilian lemon;66;8;0
676;DORALL COLLECTION;Pink Hearts;8;100;EDT;Women;floral;caramel musk tonka sandalwood vanilla;red berries lily of valley licorice cotton candy strawberry;floral caramel musk tonka sandalwood vanilla red berries lily of valley licorice cotton candy strawberry;104;15;2
677;HUGO BOSS;Natural Spray;140;75;EDP;Women;oriental;apricot amber lemon tree;bulgarian rose jasmine lily;oriental apricot amber lemon tree bulgarian rose jasmine lily;61;9;0
678;Remy Marquis;Remy;57;100;EDT;Men;spicy;cedar sandalwood musk amber;geranium cinnamon nutmeg;spicy cedar sandalwood musk amber geranium cinnamon nutmeg;58;8;0
679;GUCCI;Flora Gardenia;234;100;EDT;Women;citrus;patchouli brown sugar accord;white gardenia frangipani flower;citrus patchouli brown sugar accord white gardenia frangipani flower;68;9;2
680;GUCCI;Flora Gorgeous Gardenia;226;100;EDT;Women;citrus;patchouli;gardenia plumeria;citrus patchouli gardenia plumeria;34;4;0
681;Calvin Klein;Sheer Beauty Essence;167;100;EDT;Women;floral;musk vanilla cedar;lilac magnolia turkish rose peony;floral musk vanilla cedar lilac magnolia turkish rose peony;59;9;0
682;DAVIDOFF;The Game;83;100;EDT;Men;woody;ebony wood;iris woody notes;woody ebony wood iris woody notes;33;5;0
683;DORALL COLLECTION;Oud Wood;9;100;PDT;Unisex;citrus;cedar tobacco patchouli sandalwood musk;geranium marigold rose bay leaves;citrus cedar tobacco patchouli sandalwood musk geranium marigold rose bay leaves;80;11;2
684;Mancera;Rose Greedy;269;120;EDP;Unisex;rose floral;white musk amber vanilla sugar;rose jasmine flowers;rose floral white musk amber vanilla sugar rose jasmine flowers;63;9;0
685;ROGER & GALLET;Open;43;100;EDT;Men;spicy;lamon woody;sage thyme;spicy lamon woody sage thyme;28;5;0
686;LACOSTE;Challenge;144;90;EDT;Men;citrus;ginger jasmine juniper nutmeg pepper violet whisky;amber musk wood;citrus ginger jasmine juniper nutmeg pepper violet whisky amber musk wood;73;11;2
687;VERSACE;The Dreamer;135;100;EDT;Men;arabian;cedar tonka bean;geranium rose tobacco;arabian cedar tonka bean geranium rose tobacco;46;7;0
688;Justcavalli;Just Cavalli;131;75;EDT;Women;floral;cuddly creamy rosewood;tahitian tiare flowers;floral cuddly creamy rosewood tahitian tiare flowers;52;7;0
689;Genie;8839 Collection;24;25;EDP;Women;floral;liquid amber black violet cream mahogany;lotus blossom champaca flower black orchid;floral liquid amber black violet cream mahogany lotus blossom champaca flower black orchid;90;12;2
690;GIORGIO ARMANI;Si Possione;246;100;EDP;Women;floral;cedar vanilla amberwood patchouli;rose jasmine heliotrope pineapple;floral cedar vanilla amberwood patchouli rose jasmine heliotrope pineapple;74;9;2
691;Calvin Klein;Beauty;109;100;EDP;Women;floral;virginia cedar;jasmine;floral virginia cedar jasmine;29;4;0
