no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
756;BVLGARI;Man In Black;187;100;EDP;Men;spicy;tonka bean guaiac wood benzoin;leather iris tuberose;spicy tonka bean guaiac wood benzoin leather iris tuberose;58;9;0
757;VERSACE;Eros;225;100;EDP;Women;citrus;sandalwood ambroxan musk woodsy notes;lemon blossom jasmine sambac jasmine peony;citrus sandalwood ambroxan musk woodsy notes lemon blossom jasmine sambac jasmine peony;87;11;2
758;CARTIER;Declaration;101;100;EDT;Men;spicy;leather amber tea tahitian vetiver oak moss cedar;iris ginger cinnamon pepper juniper orris root jasmine guatemalan cardamom;spicy leather amber tea tahitian vetiver oak moss cedar iris ginger cinnamon pepper juniper orris root jasmine guatemalan cardamom;130;19;1
759;Pierra Katra;Velvet Oud;97;100;EDP;Men;arabian;cashmere wood amber musk;floral harmony of magnolia honeysuckle sweet fruity raspberry nuance;arabian cashmere wood amber musk floral harmony of magnolia honeysuckle sweet fruity raspberry nuance;101;14;2
760;DIESEL;Plus Plus Masculine;31;75;EDT;Men;spicy;vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise;jasmine birch sage cardamom coriander lilyofthevalley violet green notes;spicy vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise jasmine birch sage cardamom coriander lilyofthevalley violet green notes;160;22;1
761;Rasasi;Shuhrah;69;90;EDP;Women;floral;oud patchouli grey amber musk;iris jasmine lily of valley;floral oud patchouli grey amber musk iris jasmine lily of valley;64;11;0
762;VERSACE;Eros;208;100;EDP;Women;citrus;sandalwood ambroxan woodsy notes musk;lemon blossom jasmine sambac jasmine peony;citrus sandalwood ambroxan woodsy notes musk lemon blossom jasmine sambac jasmine peony;87;11;2
763;VERSACE;Eros;234;100;EDP;Women;citrus;musk ambroxan woodsy notes sandalwood;lemon blossom jasmine sambac jasmine peony;citrus musk ambroxan woodsy notes sandalwood lemon blossom jasmine sambac jasmine peony;87;11;2
764;Lancome;La Vie Est Belle;217;75;EDP;Women;vanilla;patchouli praline tonka beans vanilla;iris jasmine orange tree blossom;vanilla patchouli praline tonka beans vanilla iris jasmine orange tree blossom;78;10;2
765;Arabian Oud;Sheikh Al Shuyukh;36;50;EDP;Women;oriental;vetiver patchouli;lavender sage rosemary;oriental vetiver patchouli lavender sage rosemary;49;6;0
766;UNITED COLORS OF BENETTON;Hot;27;100;EDT;Women;woody;cedarwood sandalwood oak moss amber vanilla musk;lily of valley water jasmine iris apricot;woody cedarwood sandalwood oak moss amber vanilla musk lily of valley water jasmine iris apricot;96;15;2
767;LANVIN;L'Homme;110;100;EDT;Men;spicy;sandalwood amber musk;comprise pepper mint sage cardamom;spicy sandalwood amber musk comprise pepper mint sage cardamom;62;9;0
768;Estee Lauder;Wood Mystique;479;100;EDP;Unisex;woody;patchouli virginia cedar benzoin agarwood leather raspberry;iris jasmine ylangylang rose mimosa;woody patchouli virginia cedar benzoin agarwood leather raspberry iris jasmine ylangylang rose mimosa;101;13;2
769;S.T.Dupont;Essence Pure;74;100;EDT;Men;woody;cypress amber musk cedar;iris lavender bamboo;woody cypress amber musk cedar iris lavender bamboo;51;8;0
770;ARMAND BASI;In Red;107;100;EDT;Women;citrus;palisander rosemary oakmoss white musk amber vanilla praline woody notes;lily jasmine violet leaf rose blackcurrant pink pepper peony;citrus palisander rosemary oakmoss white musk amber vanilla praline woody notes lily jasmine violet leaf rose blackcurrant pink pepper peony;140;20;1
771;Lattafa;Pure Oudi Liquid Gold;47;100;EDP;Unisex;woody;effervescent citrus;ylangylang black currant;woody effervescent citrus ylangylang black currant;50;6;0
772;DORALL COLLECTION;Lancy;0;100;EDT;Women;spicy;tonka praline patchouli vanilla;iris orange blossom jasmine;spicy tonka praline patchouli vanilla iris orange blossom jasmine;65;9;0
773;GUCCI;Guilty;213;75;EDT;Women;floral;lily wild strawberry;litchi;floral lily wild strawberry litchi;34;5;0
774;PACO RABANNE;One Million;319;200;EDT;Men;woody;amber leather;cinnamon rose;woody amber leather cinnamon rose;33;5;0
775;VERSACE;Bright Crystal;21;5;EDT;Women;floral;plants musk red woods;lotus peony magnolia;floral plants musk red woods lotus peony magnolia;49;8;0
776;DORALL COLLECTION;DC Charged;0;100;EDT;Women;woody;praline coconut salt suede musk;floral notes apple;woody praline coconut salt suede musk floral notes apple;56;9;0
777;DAVIDOFF;The Game;83;100;EDT;Men;woody;ebony wood;iris woody notes;woody ebony wood iris woody notes;33;5;0
778;HUGO BOSS;Boss The Scent;133;100;EDT;Men;spicy;leather;maninka fruit lavender;spicy leather maninka fruit lavender;36;5;0
779;SWISS ARABIAN;Bakhoor Al Arais;15;50;EDP;Unisex;arabian;amber palisander rosewood;cedar spicy;arabian amber palisander rosewood cedar spicy;45;6;0
780;PACO RABANNE;Invictus Intense;199;100;EDT;Men;spicy;ambergris amber salt;laurels whiskey;spicy ambergris amber salt laurels whiskey;42;6;0
781;Calvin Klein;Beauty;109;100;EDP;Women;floral;virginia cedar;jasmine;floral virginia cedar jasmine;29;4;0
782;Ferrari;Cedar Essence;106;100;EDP;Men;woody;patchouli amber;marine watermelon;woody patchouli amber marine watermelon;39;5;0
783;J.CASANOVA;Plaisir;75;100;EDP;Women;oriental;amber;musk;oriental amber musk;19;3;0
784;DORALL COLLECTION;Islanders;9;100;EDT;Men;woody;guaiac wood oakmoss patchouli ambergris;bay leaf jasmine;woody guaiac wood oakmoss patchouli ambergris bay leaf jasmine;62;9;0
785;Calvin Klein;CK One;98;200;EDT;Unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lilyofthevalley rose;citrus sandalwood amber musk cedar oakmoss nutmeg violet orris root jasmine lilyofthevalley rose;96;13;2
786;Fendi;Furiosa;184;100;EDP;Women;floral;incense gaac wood amber;jasmine absolute violaciocca flower gardenia;floral incense gaac wood amber jasmine absolute violaciocca flower gardenia;75;10;2
787;al raheeb;Oud Khurafi;36;100;EDP;Unisex;fresh;cashmeran ambroxan musk;woody;fresh cashmeran ambroxan musk woody;35;5;0
788;Bill Blass;Nude Natural Spray Colo;79;100;EDT;Women;floral;sandalwood musk orris root vetiver;oakmoss jasmine ylangylang rose narcissus;floral sandalwood musk orris root vetiver oakmoss jasmine ylangylang rose narcissus;83;11;2
789;PACO RABANNE;Black Xs Potion;162;100;EDT;Men;woody;labdanum rum;wormwood cashmere wood;woody labdanum rum wormwood cashmere wood;41;6;0
790;JAGUAR;Vision III;120;100;EDT;Men;woody;sandalwood patchouli tonka bean cedar vanilla musk;jasmine marine notes;woody sandalwood patchouli tonka bean cedar vanilla musk jasmine marine notes;77;11;2
791;VERSACE;Crystal Noir;16;5;EDT;Women;arabian;amber musk sandalwood;orange blossom gardenia peony;arabian amber musk sandalwood orange blossom gardenia peony;59;8;0
792;Dolce & Gabbana;Pour Femme;195;100;EDP;Women;floral;guimave vanilla heliotrope sandalwood;jasmine orange blossom;floral guimave vanilla heliotrope sandalwood jasmine orange blossom;67;8;2
793;Al Rasasi;Dirham;45;35;EDP;Unisex;floral;vanilla patchouli massoia wood;rose black violet coca flower;floral vanilla patchouli massoia wood rose black violet coca flower;67;10;2
794;Roberto Cavalli;Florence;154;75;EDP;Women;floral;patchouli amber musk;orange blossom hibiscus seed grapefruit blossom;floral patchouli amber musk orange blossom hibiscus seed grapefruit blossom;75;9;2
795;Milton Lloyd;Hawaii London;23;55;EDT;Women;floral;woody notes musk;jasmine rose;floral woody notes musk jasmine rose;36;6;0
796;AZZARO;Chrome Legend;163;125;EDT;Men;woody;warm amber musk tonka bean;woodsy notes of oakmoss vetiver cedar;woody warm amber musk tonka bean woodsy notes of oakmoss vetiver cedar;70;12;2
797;VERSACE;Crystal Noir;215;90;EDT;Women;spicy;sandalwood musk amber;orange blossom peony gardenia coconut;spicy sandalwood musk amber orange blossom peony gardenia coconut;65;9;0
798;S.T.Dupont;Essence Pure;91;100;EDT;Women;citrus;amber patchouli vanilla cedar;jasmine rose;citrus amber patchouli vanilla cedar jasmine rose;49;7;0
799;LANVIN;Eclat D'arpege;0;2;EDP;Women;floral;blackberry sensual musk;musk chinese osmanthus petitgrain cedar wisteria;floral blackberry sensual musk musk chinese osmanthus petitgrain cedar wisteria;79;9;2
800;LACOSTE;Pour Femme;123;90;EDP;Women;floral;cedar vetiver sandalwood musk;jasmine petals white heliotrope hibiscus;floral cedar vetiver sandalwood musk jasmine petals white heliotrope hibiscus;77;10;2
801;CHLOE;Love Story;221;75;EDP;Women;floral;musk cedar cashmirwood patchouli;orange blossom stephanotis rose black currant peach;floral musk cedar cashmirwood patchouli orange blossom stephanotis rose black currant peach;91;12;2
802;J.CASANOVA;Vivaldi;87;100;EDP;Women;fresh;tonka bean patchouli opoponax vanilla vetiver white musk;mimosa jasmine turkish rose ylangylang;fresh tonka bean patchouli opoponax vanilla vetiver white musk mimosa jasmine turkish rose ylangylang;101;14;2
803;CAROLINA HERRERA;Good Girl;213;80;EDP;Women;arabian;tonka bean cocoa sandalwood praline cinnamon cedar cashmere wood;jasmine sambac tuberose orris bulgarian rose orange blossom;arabian tonka bean cocoa sandalwood praline cinnamon cedar cashmere wood jasmine sambac tuberose orris bulgarian rose orange blossom;132;18;1
804;Dunhill;Desire Blue;68;100;EDT;Men;fresh;tonka bean musk amber benzoin;orange brazilian rosewood sea notes;fresh tonka bean musk amber benzoin orange brazilian rosewood sea notes;71;11;2
805;AZZARO;Chrome;121;100;EDT;Men;citrus;sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom;cyclamen coriander jasmine oakmoss;citrus sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom cyclamen coriander jasmine oakmoss;110;13;2
806;Yves Saint Laurent;Black Opium;364;90;EDP;Women;vanilla;musk white wood;jasmine tea orrange blossom coffee;vanilla musk white wood jasmine tea orrange blossom coffee;58;9;0
807;NINA RICCI;Premier Jour;136;100;EDP;Women;fruity;sandalwood musk vanilla woodsy notes;orchid gardenia;fruity sandalwood musk vanilla woodsy notes orchid gardenia;59;8;0
808;Dorall;Blue Princess;0;100;EDT;Men;oriental;musk patchouli;woody vetiver;oriental musk patchouli woody vetiver;37;5;0
809;GUESS;Seductive;86;75;EDT;Women;spicy;vanille olibanum cashmere wood;jasmine african orange flower orris root;spicy vanille olibanum cashmere wood jasmine african orange flower orris root;77;11;2
810;HUGO BOSS;Boss The Scent;155;100;EDP;Women;fruity;cacao;osmanthus;fruity cacao osmanthus;22;3;0
811;AVON;Today Tomorrow Always;98;75;EDT;Men;citrus;sandalwood patchouli amber;anise;citrus sandalwood patchouli amber anise;39;5;0
812;Lattafa;Oud Mood;42;100;EDP;Unisex;woody;musk incense amber resin woody;patchouli caramel agarwood;woody musk incense amber resin woody patchouli caramel agarwood;63;8;0
813;MB;Tim Tom Leather Black;19;100;EDP;Men;fresh;rose vanilla ginger;pine cardamom lavender rosemary;fresh rose vanilla ginger pine cardamom lavender rosemary;57;8;0
814;DIESEL;Plus Plus Masculine;30;75;EDT;Men;spicy;vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise;jasmine birch sage cardamom coriander lilyofthevalley violet green notes;spicy vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise jasmine birch sage cardamom coriander lilyofthevalley violet green notes;160;22;1
815;LACOSTE;EDTTouch Of Pink For Wom;89;90;EDT;Women;citrus;woody musk vanilla;jasmine carrot spicy coriander;citrus woody musk vanilla jasmine carrot spicy coriander;56;8;0
816;GUCCI;Guilty Absolute;230;90;EDP;Men;woody;woody notes vetiver;patchouli cypress;woody woody notes vetiver patchouli cypress;43;5;0
817;AMOUAGE;Epic;653;100;EDP;Women;jasmine;rose geranium jasmine tea;rose geranium jasmine tea;jasmine rose geranium jasmine tea rose geranium jasmine tea;59;4;0
818;VERSACE;Bright Crystal;169;90;EDT;Women;floral;amber musk mahogany;peonylotus magnolia;floral amber musk mahogany peonylotus magnolia;46;6;0
819;MB;Sweetheart Rockstar;10;100;EDP;Women;fresh;rose vanilla ginger;pine cardamom lavender rosemary;fresh rose vanilla ginger pine cardamom lavender rosemary;57;8;0
820;Ferrari;Scuderia Red;97;125;EDT;Men;fruity;cedar sandalwood moss vanilla;jasmine geranium orris nutmeg;fruity cedar sandalwood moss vanilla jasmine geranium orris nutmeg;66;9;0
821;DAVIDOFF;Hot Water;76;110;EDT;Men;arabian;styrax benzoin;pimento patchouli;arabian styrax benzoin pimento patchouli;40;5;0
822;ST Dupont;Passenger;103;100;EDT;Men;spicy;guaiac wood benzoin;ginger cardamom pink pepper lavender;spicy guaiac wood benzoin ginger cardamom pink pepper lavender;62;9;0
823;HUGO BOSS;Ma Vie;137;75;EDP;Women;floral;cedar woody notes;pink freesia jasmine rose;floral cedar woody notes pink freesia jasmine rose;50;8;0
824;Givenchy;Xeryus Rouge;214;100;EDT;Men;woody;cedar wood;red pepper;woody cedar wood red pepper;27;5;0
825;joop;Homme;55;125;EDT;Men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lily of valley heliotrope cinnamon;citrus vanilla tonka bean patchouli sandalwood jasmine lily of valley heliotrope cinnamon;89;12;2
826;TESORI D´ORIENTE;Lotus Flower Aromatic Par;33;100;EDT;Unisex;floral;vanilla woodsy notes sandalwood musk;jasmine lotus tuberose lily of valley;floral vanilla woodsy notes sandalwood musk jasmine lotus tuberose lily of valley;81;12;2
827;TESORI D´ORIENTE;White Musk;39;100;EDT;Men;woody;aldehyde jasmine white flowers;rose;woody aldehyde jasmine white flowers rose;41;6;0
828;STELLA MCCARTNEY;Stella;197;100;EDP;Women;floral;amber;rose;floral amber rose;17;3;0
829;CHANEL;Coco Mademoiselle;275;100;EDP;Women;woody;opoponax patchouli tonka beans vanilla vetiver white musk;jasmine mimosa rose ylangylang;woody opoponax patchouli tonka beans vanilla vetiver white musk jasmine mimosa rose ylangylang;94;13;2
830;Alina Corel;For Ever;33;100;EDP;Men;spicy;guaiac wood benzoin;ginger cardamom pink pepper lavender;spicy guaiac wood benzoin ginger cardamom pink pepper lavender;62;9;0
831;Calvin Klein;One Shock;86;200;EDT;Women;floral;musk patchouli amber vanille;jasmine narcissus mexican chocolate blackberry;floral musk patchouli amber vanille jasmine narcissus mexican chocolate blackberry;82;10;2
832;Mancera;Roses Vanille;248;120;EDP;Women;arabian;cedar vanilla sugar white musk;rose sugar;arabian cedar vanilla sugar white musk rose sugar;49;7;0
833;Mandarina Duck;Black;182;100;EDT;Men;woody;vetiverpatchouli;tuberoseorange blossommusk;woody vetiverpatchouli tuberoseorange blossommusk;49;4;0
834;PACO RABANNE;1 Million;172;100;EDT;Men;woody;leather woody notes amber indian patchouli;rose cinnamon spicy notes;woody leather woody notes amber indian patchouli rose cinnamon spicy notes;74;9;2
835;Calvin Klein;Sheer Beauty;104;100;EDT;Women;fruity;musk sandalwood vanille;jasmine peony lily;fruity musk sandalwood vanille jasmine peony lily;49;7;0
836;CHLOE;Chloe;157;90;EDT;Women;floral;bourbon vanilla sandal wood tonka bean;night queen flower bulgarian rose orange flower;floral bourbon vanilla sandal wood tonka bean night queen flower bulgarian rose orange flower;93;13;2
837;TED LAPIDUS;Creation;50;100;EDT;Women;floral;jasmine rose tuberose carnation;jasmine rose tuberose carnation;floral jasmine rose tuberose carnation jasmine rose tuberose carnation;70;5;2
838;Guerlain;L'Instant Magic;422;100;EDP;Women;woody;wood almond;rose freesia;woody wood almond rose freesia;30;5;0
839;Lattafa;Rouat Al Musk;38;100;EDP;Women;oriental;vanilla amber;jasmine white flowers sandalwood;oriental vanilla amber jasmine white flowers sandalwood;55;7;0
840;Dunhill;London;109;75;EDT;Men;arabian;patchouli sandalwood tonka bean vanilla musk;rose geranium jasmine;arabian patchouli sandalwood tonka bean vanilla musk rose geranium jasmine;74;10;2
841;TRI;En Joy;9;100;EDT;Women;floral;sandalwood cedar patchoulli musk benzoin;rose jasmine cassis peach;floral sandalwood cedar patchoulli musk benzoin rose jasmine cassis peach;73;10;2
842;Mancera;Roses Greedy;258;120;EDP;Unisex;floral;white musk amber vanilla sugar benzoin;rose jasmine flowers;floral white musk amber vanilla sugar benzoin rose jasmine flowers;66;10;0
843;Rasasi;Emotion;44;50;EDP;Women;sandalwood;sandalwood musk amber cedar vanilla;kiwi pineapple black currant freesia water lily jasmin;sandalwood sandalwood musk amber cedar vanilla kiwi pineapple black currant freesia water lily jasmin;101;13;2
844;BURBERRY;Mr. Burberry;179;100;EDP;Men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;woody patchouli amber sandalwood vetiver benzoin cinnamon lavender cedar nutmeg;79;10;2
845;DORALL COLLECTION;Oud Maaruf;11;100;EDT;Men;arabian;sandalwood musk woody amber patchouli oudh dry woodyamber amber;rose raspberry dried fruits ylang geranium jasmin orris muguet saffron;arabian sandalwood musk woody amber patchouli oudh dry woodyamber amber rose raspberry dried fruits ylang geranium jasmin orris muguet saffron;142;19;1
846;BURBERRY;Burberry Body Intense;152;60;EDP;Women;fruity;cashmere wood amber vanille musk;rose sandalwood iris;fruity cashmere wood amber vanille musk rose sandalwood iris;60;9;0
847;Dior;Sauvage;208;100;EDT;Men;oriental;ceder ambroxan labdanum;lavender elemi geranium sichuan pepper;oriental ceder ambroxan labdanum lavender elemi geranium sichuan pepper;71;9;2
848;Lattafa;Sheikh Shuyukh;30;50;EDP;Unisex;woody;vetiver patchouli;lavender sage rosemary;woody vetiver patchouli lavender sage rosemary;46;6;0
849;Mancera;Roses Vanille;285;120;EDP;Women;arabian;cedar vanilla sugar white musk;rose sugar;arabian cedar vanilla sugar white musk rose sugar;49;7;0
850;Mancera;Roses Vanille;239;120;EDP;Women;arabian;vanilla sugar white musk cedar;rose sugar;arabian vanilla sugar white musk cedar rose sugar;49;7;0
851;Ferrari;Man In Red;119;100;EDT;Men;fruity;cedar tonka bean labdanum;lavender yellow plum orange blossom;fruity cedar tonka bean labdanum lavender yellow plum orange blossom;68;10;2
852;Dunhill;Desire;84;100;EDT;Men;fresh;vanilla musk;rose teak wood patchouli;fresh vanilla musk rose teak wood patchouli;43;7;0
853;BVLGARI;Man In Black;187;100;EDP;Men;spicy;tonka bean guaiac wood benzoin;leather iris tuberose;spicy tonka bean guaiac wood benzoin leather iris tuberose;58;9;0
854;VERSACE;Eros;225;100;EDP;Women;citrus;sandalwood ambroxan musk woodsy notes;lemon blossom jasmine sambac jasmine peony;citrus sandalwood ambroxan musk woodsy notes lemon blossom jasmine sambac jasmine peony;87;11;2
855;Gres;Cabotine;61;100;EDT;Women;floral;cedarwood vanilla tonka bean cybet musk amber;rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;floral cedarwood vanilla tonka bean cybet musk amber rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;129;18;1
856;Alina Corel;Monsieur Oud;30;100;EDP;Unisex;musk;cedar musk;rose water;musk cedar musk rose water;26;4;0
857;VERSACE;Eros;208;100;EDP;Women;citrus;sandalwood ambroxan woodsy notes musk;lemon blossom jasmine sambac jasmine peony;citrus sandalwood ambroxan woodsy notes musk lemon blossom jasmine sambac jasmine peony;87;11;2
858;VERSACE;Eros;234;100;EDP;Women;citrus;musk ambroxan woodsy notes sandalwood;lemon blossom jasmine sambac jasmine peony;citrus musk ambroxan woodsy notes sandalwood lemon blossom jasmine sambac jasmine peony;87;11;2
859;GIORGIO ARMANI;Si Passione EDP For Wo;235;100;EDT;Women;floral;cedarvanillapatchouli;rosejasmineheliotropepineapple;floral cedarvanillapatchouli rosejasmineheliotropepineapple;59;3;0
860;BOUCHERON;Quatre;158;100;EDP;Women;floral;golden woods cedar cashmere musk vanilla caramel;sambac jasmine rose accords of wild strawberry peach apple;floral golden woods cedar cashmere musk vanilla caramel sambac jasmine rose accords of wild strawberry peach apple;114;17;2
861;LALIQUE;Encre Noire;140;100;EDT;Men;woody;sandalwood;lemongrass;woody sandalwood lemongrass;27;3;0
862;UNITED COLORS OF BENETTON;Hot;27;100;EDT;Women;woody;cedarwood sandalwood oak moss amber vanilla musk;lily of valley water jasmine iris apricot;woody cedarwood sandalwood oak moss amber vanilla musk lily of valley water jasmine iris apricot;96;15;2
863;Dior;Sauvage;208;100;EDT;Men;spicy;ambroxan cedar labdanum;sichuan pepper lavender pink pepper vetiver geranium patchouli elemi;spicy ambroxan cedar labdanum sichuan pepper lavender pink pepper vetiver geranium patchouli elemi;98;12;2
864;CAROLINA HERRERA;212 Sexy;104;100;EDT;Men;vanilla;sensual oriental character gaiac wood sandalwood bourbon vanilla musk amber;subtle spicy sensuality green pepper floral petal cardamom tonka beans;vanilla sensual oriental character gaiac wood sandalwood bourbon vanilla musk amber subtle spicy sensuality green pepper floral petal cardamom tonka beans;154;20;1
865;GUCCI;Rush 2;361;50;EDT;Women;floral;oakmoss musk black currant;lily gardenia plam tree narcissus;floral oakmoss musk black currant lily gardenia plam tree narcissus;67;10;2
866;BURBERRY;London;167;100;EDP;Women;floral;sandalwood musk patchouli;tiare flower jasmine peony clementine zest;floral sandalwood musk patchouli tiare flower jasmine peony clementine zest;75;10;2
867;HUGO BOSS;Femme;139;75;EDP;Women;floral;apricot amber lemon tree;lily jasmine bulgarian rose;floral apricot amber lemon tree lily jasmine bulgarian rose;59;9;0
868;Jean Paul GAULTIER;Scandal;354;80;EDP;Women;floral;vanilla musk labdanum;tiare flower jasmine orange blossom;floral vanilla musk labdanum tiare flower jasmine orange blossom;64;9;0
869;ARMAND BASI;In Red;107;100;EDT;Women;citrus;palisander rosemary oakmoss white musk amber vanilla praline woody notes;lily jasmine violet leaf rose blackcurrant pink pepper peony;citrus palisander rosemary oakmoss white musk amber vanilla praline woody notes lily jasmine violet leaf rose blackcurrant pink pepper peony;140;20;1
870;VERSACE;Eros;202;100;EDT;Men;arabian;madagascar vanilla virginian cedar atlas cedar vetiver oakmoss;tonka bean geranium ambroxan;arabian madagascar vanilla virginian cedar atlas cedar vetiver oakmoss tonka bean geranium ambroxan;99;12;2
871;Yves Saint Laurent;Manifesto;207;90;EDP;Women;floral;cedar sandalwood vanilla tonka bean;lilyofthevalley jasmine sambac;floral cedar sandalwood vanilla tonka bean lilyofthevalley jasmine sambac;73;9;2
872;GUCCI;Bloom;325;100;EDP;Women;floral;rangoon creeper;tuberose;floral rangoon creeper tuberose;31;4;0
873;GUCCI;Guilty;213;75;EDT;Women;floral;lily wild strawberry;litchi;floral lily wild strawberry litchi;34;5;0
874;GUCCI;Bloom;315;100;EDP;Women;floral;rangoon creeper;tuberose;floral rangoon creeper tuberose;31;4;0
875;VERSACE;Crystal Noir;172;90;EDP;Women;floral oriental;sandalwood cashmeran vanilla pod heliotropine;tuberose frangipani jasmine dry;floral oriental sandalwood cashmeran vanilla pod heliotropine tuberose frangipani jasmine dry;93;11;2
876;HUGO BOSS;Boss The Scent;133;100;EDT;Men;spicy;leather;maninka fruit lavender;spicy leather maninka fruit lavender;36;5;0
877;GUCCI;Bloom Nettare Di Fiori;329;100;EDP;Women;floral;patchoulie musk schijnhulst;tuberose honeysuckle jasmine;floral patchoulie musk schijnhulst tuberose honeysuckle jasmine;63;7;0
878;Givenchy;L'interdit;195;80;EDP;Women;floral;patchouli vetiver;tuberose jasmine orange blossom;floral patchouli vetiver tuberose jasmine orange blossom;56;7;0
879;LACOSTE;L.12.12 Blanc;88;100;EDT;Men;woody;leather suede cedar;mexican tuberose ylangylang;woody leather suede cedar mexican tuberose ylangylang;53;7;0
880;LACOSTE;Eau De lacoste;91;100;EDT;Men;citrus;georgywood suede vetiver cedarwood;tuberose olibanum ylangylang;citrus georgywood suede vetiver cedarwood tuberose olibanum ylangylang;70;8;2
881;Geoffrey Beene;Grey Flannel;82;120;EDT;Men;woody;tonka bean almond oakmoss vetiver cedar;mimosa iris violet sage rose geranium narcissus;woody tonka bean almond oakmoss vetiver cedar mimosa iris violet sage rose geranium narcissus;93;14;2
882;Niya;Hawaiian Musk;49;100;EDP;Men;woody;musk oakmoss vanilla;moroccan jasmine patchouli birch rose;woody musk oakmoss vanilla moroccan jasmine patchouli birch rose;64;9;0
883;Genie Collection;Premium;14;25;EDP;Unisex;oriental;amber patchouli musk;tuberose ylangylang jasmine;oriental amber patchouli musk tuberose ylangylang jasmine;57;7;0
884;GUESS;Homme;98;100;EDT;Men;spicy;patchouli sandalwood amber musk;vanilla orchid violet leaves vetiver;spicy patchouli sandalwood amber musk vanilla orchid violet leaves vetiver;74;10;2
885;DAVIDOFF;Zino;81;125;EDT;Men;woody;tonka sandal amber cedar patchouli vanilla;muguet rose jasmine geranium;woody tonka sandal amber cedar patchouli vanilla muguet rose jasmine geranium;77;11;2
886;Niya;Prive Maison Sandalwood;99;100;EDP;Men;woody;sandalwood vanilla musk;muguet violet tuberose;woody sandalwood vanilla musk muguet violet tuberose;52;7;0
887;Lattafa;Ana Abiyedh Leather;47;60;EDP;Men;musk;tonka bean guaiac wood;vanilla cardamom saffron;musk tonka bean guaiac wood vanilla cardamom saffron;52;8;0
888;Roberto Cavalli;Just Cavalli;101;90;EDT;Men;woody;leather;vetiver;woody leather vetiver;21;3;0
889;AVON;Tomorrow;70;50;EDP;Women;floral;powdery floral woody balsamic rose;musk;floral powdery floral woody balsamic rose musk;46;6;0
890;J.CASANOVA;Plaisir;75;100;EDP;Women;oriental;amber;musk;oriental amber musk;19;3;0
891;Givenchy;Pour Homme;117;100;EDT;Men;spicy;labdanum cedar;vetiver lavender extract;spicy labdanum cedar vetiver lavender extract;45;6;0
892;MONTBLANC;Emblem;146;100;EDT;Men;spicy;tonka bean woody notes;violet leaf cinnamon;spicy tonka bean woody notes violet leaf cinnamon;49;8;0
893;BURBERRY;Burberry Body;164;85;EDP;Women;fruity;woody cashmeran creamy vanilla amber musk;natural rose absolute iris warm sandalwood;fruity woody cashmeran creamy vanilla amber musk natural rose absolute iris warm sandalwood;91;13;2
894;Calvin Klein;CK One;98;200;EDT;Unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lilyofthevalley rose;citrus sandalwood amber musk cedar oakmoss nutmeg violet orris root jasmine lilyofthevalley rose;96;13;2
895;MONTBLANC;Emblem Intense;127;100;EDT;Men;spicy;patchouli tonka beans velvet woody notes;violet leaf apple rose cinnamon nutmeg;spicy patchouli tonka beans velvet woody notes violet leaf apple rose cinnamon nutmeg;85;13;2
896;MONTBLANC;Emblem;146;100;EDT;Men;spicy;woody notes tonka bean;violet leaf cinnamon;spicy woody notes tonka bean violet leaf cinnamon;49;8;0
897;Bill Blass;Nude Natural Spray Colo;79;100;EDT;Women;floral;sandalwood musk orris root vetiver;oakmoss jasmine ylangylang rose narcissus;floral sandalwood musk orris root vetiver oakmoss jasmine ylangylang rose narcissus;83;11;2
898;HUGO BOSS;Nuit;162;75;EDP;Women;floral;sandalwood crystal moss warm woods;violet jasmin white florals;floral sandalwood crystal moss warm woods violet jasmin white florals;69;10;2
899;Roberto Cavalli;Florence;154;75;EDP;Women;floral;patchouli amber musk;orange blossom hibiscus seed grapefruit blossom;floral patchouli amber musk orange blossom hibiscus seed grapefruit blossom;75;9;2
900;Elizabeth Taylor;White Diamonds;118;100;EDT;Women;floral;oak moss patchouli musk sandalwood amber;violet rose jasmine ylangylang;floral oak moss patchouli musk sandalwood amber violet rose jasmine ylangylang;78;11;2
901;DAVIDOFF;Adventure;79;100;EDT;Men;woody;vetivercederwhitemusk;warm spices of wild aromatic black sesame south american pimento;woody vetivercederwhitemusk warm spices of wild aromatic black sesame south american pimento;92;12;2
902;Givenchy;L'Interdit EDP For Wo;206;80;EDT;Women;floral;vetiver patchouli ambroxan vanilla;orange blossom jasmine tuberose;floral vetiver patchouli ambroxan vanilla orange blossom jasmine tuberose;73;9;2
