no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
435,PACO RABANNE,Lady Million,420,158.0,80,edp,Women,floral,patchouli white honey and amber,jasmine african orange flower and gardenia,4.07,عالم المشاهير,4.02,7,floral patchouli white honey and amber jasmine african orange flower and gardenia,0
440,Ard Al Zaafaran,Oud Sharqia,65,18.04,80,edp,Unisex,arabian,sweet wood,citric,4.04,King-Perfume,3.06,450,arabian sweet wood citric,0
444,BURBERRY,My Burberry,699,226.65,90,edp,Women,floral,oined with damascus and centifolia rose,freesia flowers and golden quince,5.0,AMLAQ,3.09,135,floral oined with damascus and centifolia rose freesia flowers and golden quince,0
446,LACOSTE,Joy Of Pink,427,113.95,90,edt,Women,floral,musk vanilla,jasmine carrot and spicy coriander,4.04,Kado Store,4.03,23,floral musk vanilla jasmine carrot and spicy coriander,0
448,GUCCI,Memoire  D'une Odeur EDP For Uni,530,349.95,100,edp,Unisex,fresh,sandalwood cedar vanilla,coral jasmine jasmine petals musks,5.0,noon,4.02,98.1K,fresh sandalwood cedar vanilla coral jasmine jasmine petals musks,0
453,CAROLINA HERRERA,212 Sexy,420,151.0,100,edp,Women,floral,cotton candymusksandalwoodvanilla,gardeniageranium,4.07,Al-Najm,3.07,347,floral cotton candymusksandalwoodvanilla gardeniageranium,0
456,Parfums Gres,Cabotine De Gres,110,78.0,100,edp,Women,floral,patchouli sandalwood and musk,ginger lily tubereuse and wild hyacinth,4.05,Nawaem_perfumes,3.09,69,floral patchouli sandalwood and musk ginger lily tubereuse and wild hyacinth,0
463,COACH,New York Coach Dreams,310,201.75,90,edp,Women,floral,joshua tree and ambroxan,gardenias and cactus flowers,4.0,noon,4.02,98.1K,floral joshua tree and ambroxan gardenias and cactus flowers,0
468,Roberto Cavalli,cavali,499,115.0,75,edp,Men,arabian,roasted tonka grain laos benzoin,orange blossom extract mirabelle plum,4.03,hadayiq baris,3.08,122,arabian roasted tonka grain laos benzoin orange blossom extract mirabelle plum,0
470,CARON,De Caron,388,178.0,200,edt,Men,fresh,musk,vanille,4.03,ثروة الجمال,3.07,59,fresh musk vanille,0
471,Paris Hilton,Heiress,224,151.0,100,edp,Women,fruity,violet leaf tahiti tonka light wood,jasmine tiare lily delightfully sweet ylangylang honeysuckle grenadine,4.04,Abu Al Tayyeb Perfumes,3.06,30,fruity violet leaf tahiti tonka light wood jasmine tiare lily delightfully sweet ylangylang honeysuckle grenadine,0
480,MING NA,Beibei Bear Blue Par,20.09,20.09,50,edp,Kids Unisex,floral,patchouli earthy dry amber,sandalwood peppery lavender,4.09,Royal Scent,3.05,244,floral patchouli earthy dry amber sandalwood peppery lavender,0
485,TRUSSARDI,My Name,308,228.0,50,edp,Women,floral,dry amber vanilla,lilac and musk,4.06,noon,4.02,98.1K,floral dry amber vanilla lilac and musk,0
493,BURBERRY,The Beat,280,150.0,75,edp,Women,floral,white musk vetiver and cedar wood,ceylon tea iris and bluebell,4.03,Faces,4.02,61,floral white musk vetiver and cedar wood ceylon tea iris and bluebell,0
497,Mont Blanc,Legend,220,141.95,100,edt,Men,spicy,sandalwood tonka and evernyl,dried fruit oakmoss fused with geranium rose and apple,5.0,noon,4.02,98.1K,spicy sandalwood tonka and evernyl dried fruit oakmoss fused with geranium rose and apple,0
503,BURBERRY,My Burberry,700,197.95,90,edp,Women,floral and oriental,damascus and centifolia rose,geranium freesia flowers and golden quince,4.07,Grass gulf,3.09,135,floral and oriental damascus and centifolia rose geranium freesia flowers and golden quince,0
