no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
286,MINI COLLECTION,Mini Collection No.1075,10,10.0,25,edp,Unisex,musk,wood,vanilla,5.0,Nuna,3.09,266,musk wood vanilla,1
292,Mancera,Red Tobacco,590,340.0,120,edp,Men,woody,precious tobacco amber woody notes vetiver vanilla pods and white musk,patchouli leaves jasmine,4.07,Faces,4.02,61,woody precious tobacco amber woody notes vetiver vanilla pods and white musk patchouli leaves jasmine,1
296,Calvin Klein,Escape,184,94.95,100,edp,Women,oriental,vanilla musk cedar sandalwood oakmoss amber vetiver,carnation rose peach lily of the valley jasmine cloves,5.0,noon,4.02,98.1K,oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of the valley jasmine cloves,1
308,Lattafa,Velvet Oud,85,56.75,100,edp,Unisex,floral,sandalwood tonka bean amber patchouli musk oakmoss cedar and tobacco,pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood and incense,4.0,noon,4.02,98.1K,floral sandalwood tonka bean amber patchouli musk oakmoss cedar and tobacco pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood and incense,1
319,TED LAPIDUS,Creation,162,162.0,100,edt,Women,fruity,amber musk sandalwood veti,gardenia jasmine tuberose daffodil rose ylangylang,4.03,KAYA,4.03,4K,fruity amber musk sandalwood veti gardenia jasmine tuberose daffodil rose ylangylang,1
320,BVLGARI,Goldea,615,200.0,90,edp,Women,arabian,muskamberpatchoulipapyrus,ylangylang jasmine musk,4.05,Beuatyone1,3.09,347,arabian muskamberpatchoulipapyrus ylangylang jasmine musk,1
321,Revlon,Charlie Blue,44,34.0,100,edt,Women,woody,a mix of sandalwood oakmoss,jasmine muguet rose ylangylang,4.02,Attractive perfume,3.05,244,woody a mix of sandalwood oakmoss jasmine muguet rose ylangylang,1
341,ELIE SAAB,Royal,711,239.75,90,edp,Women,floral,indonesian patchouli essence indian sandalwood amber vanilla,turkish rose absolute bulgarian rose absolute lebanese neroli,5.0,noon,4.02,98.1K,floral indonesian patchouli essence indian sandalwood amber vanilla turkish rose absolute bulgarian rose absolute lebanese neroli,1
352,Calvin Klein,Escape,184,94.95,100,edp,Women,oriental,vanilla musk cedar sandalwood oakmoss amber vetiver,carnation rose peach lily of the valley jasmine cloves,5.0,noon,4.02,98.1K,oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of the valley jasmine cloves,1
361,Calvin Klein,CK One,220,105.0,200,edt,Unisex,citrus,sandalwood amber musk cedar and oakmoss,nutmeg violet orris root jasmine lily of the valley and rose,3.03,AMLAQ,3.09,135,citrus sandalwood amber musk cedar and oakmoss nutmeg violet orris root jasmine lily of the valley and rose,1
367,DORALL COLLECTION,Eternally Hot,29,8.0,100,edt,Women,woody,vanilla musk,gardenia jasmine,4.05,B.A.G,4.02,14.1K,woody vanilla musk gardenia jasmine,1
368,BOUCHERON,Place Vendome,187,187.0,100,edp,Women,floral,cedar white musk,iris rose jasmine,4.05,the beauty,4.01,538,floral cedar white musk iris rose jasmine,1
371,HUGO BOSS,Ma Vie,185,125.0,75,edp,Women,floral,cedar woody notes,pink freesia jasmine rose,5.0,Rose Gallary,4.02,347,floral cedar woody notes pink freesia jasmine rose,1
381,BURBERRY,Body,283,142.0,85,edp,Women,woody,cashmere wood musk amber and vanille,iris rose and sandalwood,5.0,King-Perfume,4.02,450,woody cashmere wood musk amber and vanille iris rose and sandalwood,1
383,Revlon,Charli Blue,44,44.0,100,edt,Women,woody,sandalwood oakmoss musk,jasmine muguet rose ylangylang,5.0,Attractive perfume,3.05,244,woody sandalwood oakmoss musk jasmine muguet rose ylangylang,1
393,NARCISO RODRIGUEZ,Narciso Rodriguez For Her,442,108.75,100,edt,Women,woody,vetiver vanilla,egyptian musk amber,4.07,Creativity star,3.05,319,woody vetiver vanilla egyptian musk amber,1
394,MINI COLLECTION,Eaudemoiselle No.1154,16,16.0,25,edp,Unisex,oriental,rose,cinnamon,4.09,original,3.09,235,oriental rose cinnamon,1
397,CHLOE,Chloe,428,188.85,50,edp,Women,floral,amber virginia cedar,rose lilyofthevalley caribbean magnolia,5.0,hadayiq baris,3.08,122,floral amber virginia cedar rose lilyofthevalley caribbean magnolia,1
398,TED LAPIDUS,Lapidus Pour Homme,122,66.0,100,edt,Men,woody,sandalwood tonka bean amber patchouli musk oakmoss cedar and tobacco,pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood and incense,5.0,Diorworld,3.05,75,woody sandalwood tonka bean amber patchouli musk oakmoss cedar and tobacco pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood and incense,1
404,DORALL COLLECTION,Simple,15,8.05,100,edt,Women,floral,amber patchouli vanilla musk sandalwood,magnolia gardenia lily of the valley freesia jasmine,4.03,B.A.G,3.07,14.1K,floral amber patchouli vanilla musk sandalwood magnolia gardenia lily of the valley freesia jasmine,1
408,CARTIER,Declaration D'Un Soir,365,213.0,100,edt,Men,spicy,sandalwood,rose and nutmeg,4.08,AMLAQ,3.09,135,spicy sandalwood rose and nutmeg,1
410,DAVIDOFF,Leather Blend,420,224.85,100,edp,Unisex,spicy,leatherpapyrus,rose and amber,5.0,Y,3.05,75,spicy leatherpapyrus rose and amber,1
421,Franck Olivier,Oud Vanille,167,90.0,100,edp,Men,arabian,woody notes spices musk vanilla,rose violet jasmine patchouli incense,5.0,Nawaem_perfumes,3.09,69,arabian woody notes spices musk vanilla rose violet jasmine patchouli incense,1
436,CARTIER,La Panthere,695,235.85,75,edp,Women,fruity,oakmoss musk patchouli leather,gardenia rose ylangylang orange blossom pear,4.07,noon,4.02,98.1K,fruity oakmoss musk patchouli leather gardenia rose ylangylang orange blossom pear,1
450,DORALL COLLECTION,Oud Wood,19,9.09,100,pdt,Unisex,citrus,cedar tobacco patchouli sandalwood musk,geranium marigold rose bay leaves,4.03,B.A.G,4.02,14.1K,citrus cedar tobacco patchouli sandalwood musk geranium marigold rose bay leaves,1
457,Lancome,Magie Noire L'eau,401,401.0,75,edt,Women,woody,amber sandalwood and patchouli,jasmine and ylangylang,4.06,Banorama,3.05,63,woody amber sandalwood and patchouli jasmine and ylangylang,1
459,Calvin Klein,CK Be,125,110.0,200,edt,Unisex,spicy,sandalwood amber cedar and oakmoss,green grass magnolia orchid freesia peach and jasmine,5.0,Abu Al Tayyeb Perfumes,4.02,7,spicy sandalwood amber cedar and oakmoss green grass magnolia orchid freesia peach and jasmine,1
467,LANVIN PARIS,Rumeur 2 Rose,126,106.85,100,edp,Women,floral,patchouli amber and musk,lily of the valley jasmine false jasmine rose magnolia and honeysuckle,4.03,goldiaa,4.01,135,floral patchouli amber and musk lily of the valley jasmine false jasmine rose magnolia and honeysuckle,1
476,BURBERRY,My Burberry,494,179.0,50,edp,Women,floral,amber patchouli,peach rose,5.0,noon,4.02,98.1K,floral amber patchouli peach rose,1
477,DORALL COLLECTION,Love You Like Crazy,25,7.25,100,edt,Women,woody,patchouli musk vanilla amber,peony jasmine lily,4.05,B.A.G,3.07,14.1K,woody patchouli musk vanilla amber peony jasmine lily,1
491,Estee Lauder,Private Collection,505,197.0,50,edp,Women,floral,sandalwood heliotrope amber and musk,bulgarian rose chrysanthemum reseda ylangylang and coriander,5.0,Royal Scent,3.09,69,floral sandalwood heliotrope amber and musk bulgarian rose chrysanthemum reseda ylangylang and coriander,1
496,Ajmal,Blu,177,139.95,90,edp,Men,fresh,sandalwood musk and amber,lotus jasmine,4.0,noon,4.02,98.1K,fresh sandalwood musk and amber lotus jasmine,1
501,BURBERRY,Burberry Body,13,8.05,2,edt,Women,woody,absolute vanilla orchid tahitensis praline patchouli papyrus,rose damascena essence incense,4.0,Princess of beauty,3.08,467,woody absolute vanilla orchid tahitensis praline patchouli papyrus rose damascena essence incense,1
507,LANVIN PARIS,Modern Princess,356,174.0,90,edp,Women,floral,white musk white woods vanilla orchid,jasmine freesia,5.0,Ryhana Perfume,4.02,25,floral white musk white woods vanilla orchid jasmine freesia,1
508,GIORGIO ARMANI,Eau Pour Homme Reno 2013,361,186.0,50,edt,Men,citrus,patchouli oakmoss and sandalwood,cloves lily and nutmeg,4.07,noon,4.02,98.1K,citrus patchouli oakmoss and sandalwood cloves lily and nutmeg,1
512,NARCISO RODRIGUEZ,Narciso Rodriguez For Her,442,108.75,100,edt,Women,woody,vetiver vanilla,egyptian musk amber,4.07,Creativity star,3.07,319,woody vetiver vanilla egyptian musk amber,1
514,Elizabeth Arden,Green Tea,77,72.95,100,edp,Women,citrus,caraway amber musk by green tea  jasmine cloves oakmoss and celery seeds,carnation muskjasmine oakmoss amber and white fennel,5.0,Golden Perfumesعطر اصلي 100 %,3.06,111,citrus caraway amber musk by green tea  jasmine cloves oakmoss and celery seeds carnation muskjasmine oakmoss amber and white fennel,1
517,J.CASANOVA,Pandora,79.95,79.95,50,edp,Women,fruity,cedar moss musk amber and sandalwood,lilyofthevalley rose jasmine narcissus and orchid,5.0,VIP.PARFUME,3.05,75,fruity cedar moss musk amber and sandalwood lilyofthevalley rose jasmine narcissus and orchid,1
527,HUGO BOSS,Bottled Unlimited,373,126.0,100,edt,Men,vanilla,sandalwood and musk,pineapple and rose,4.04,Al-Najm,3.07,347,vanilla sandalwood and musk pineapple and rose,1
534,PRADA,Amber Intense,324,321.95,100,edp,Men,spicy,creamy amber,vanilla,4.04,noon,4.02,98.1K,spicy creamy amber vanilla,1
537,Rasasi,Blue Lady,59,27.0,40,edp,Women,floral,sandalwood vetiver vanilla amber and musk,peach plum narcissus and jasmine,4.05,Kathya,3.08,116,floral sandalwood vetiver vanilla amber and musk peach plum narcissus and jasmine,1
541,Mancera,Musky Garden,396,297.65,120,edp,Women,floral,white musk blackberry raspberry and amber,iris bulgarian rose indian jasmine and patchouli leaf,5.0,Tiffany,4.03,22,floral white musk blackberry raspberry and amber iris bulgarian rose indian jasmine and patchouli leaf,1
546,DAVIDOFF,Cool Water,150,71.75,75,edt,Men,aromatic,musk oakmoss cedar amber,sandalwood geranium neroli jasmine,4.01,noon,4.02,98.1K,aromatic musk oakmoss cedar amber sandalwood geranium neroli jasmine,1
549,Armaf,Club De Nuit Intense,210,190.0,200,edp,Men,jasmine,vanilla ambergris musk patchouli,rose jasmine birch,5.0,Attractive perfume,3.05,244,jasmine vanilla ambergris musk patchouli rose jasmine birch,1
